shortcut_slice,n_rows
"['audience_target_mismatch', 'operator_target_mismatch', 'material_target_mismatch', 'conflicting_non_warrant_cues']",349
"['audience_target_match', 'operator_target_mismatch', 'material_target_mismatch', 'conflicting_non_warrant_cues']",87
['conflicting_non_warrant_cues'],61
"['audience_target_match', 'conflicting_non_warrant_cues']",59
"['new300_vendor_procurement_logistics', 'conflicting_non_warrant_cues', 'policy_pointer']",39
"['new300_vendor_procurement_logistics', 'conflicting_non_warrant_cues', 'active_surface']",39
"['new300_vendor_procurement_logistics', 'conflicting_non_warrant_cues']",36
"['new300_vendor_procurement_logistics', 'conflicting_non_warrant_cues', 'structured_output_field_policy']",36
"['audience_target_mismatch', 'operator_target_match', 'material_target_mismatch', 'conflicting_non_warrant_cues']",8
"['operator_target_match', 'conflicting_non_warrant_cues']",8
"['material_target_match', 'conflicting_non_warrant_cues']",8
"['audience_target_mismatch', 'operator_target_mismatch', 'material_target_match', 'conflicting_non_warrant_cues']",6
"['audience_target_match', 'operator_target_match', 'conflicting_non_warrant_cues']",4
"['audience_target_match', 'material_target_match', 'conflicting_non_warrant_cues']",4
L0::explicit_user_instruction::export_control_screening_notice,3
L1::customer_response_locale::data_subject_access_notice,3
L1::customer_response_locale::whistleblower_channel_acknowledgement,3
L1::customer_response_locale::consumer_complaint_status_notice,3
L1::customer_response_locale::sanctions_review_hold_notice,3
L1::customer_response_locale::anti_money_laundering_kyc_request,3
L1::customer_response_locale::policyholder_privacy_update,3
L1::customer_response_locale::employment_law_notice,3
L1::customer_response_locale::tax_document_correction_notice,3
L1::customer_response_locale::product_safety_recall_notice,3
L2::policy_selected_contact_locale::breach_notification_policy_notice,3
L2::policy_selected_contact_locale::consumer_credit_adverse_action_notice,3
L0::explicit_user_instruction::legal_hold_release_notice,3
L3::active_outbound_surface::safety_recall_portal_message,3
L3::active_outbound_surface::financial_complaints_portal_reply,3
L3::active_outbound_surface::ethics_hotline_secure_reply,3
L3::active_outbound_surface::privacy_request_portal_reply,3
L3::active_outbound_surface::regulator_inbox_case_update,3
L3::active_outbound_surface::secure_legal_portal_message,3
L2::policy_selected_contact_locale::cross_border_transfer_notice,3
L2::policy_selected_contact_locale::employment_privacy_disclosure,3
L2::policy_selected_contact_locale::public_procurement_debarment_notice,3
L2::policy_selected_contact_locale::financial_promotion_risk_warning,3
L2::policy_selected_contact_locale::education_records_ferpa_notice,3
L2::policy_selected_contact_locale::telecom_outage_regulatory_notice,3
L2::policy_selected_contact_locale::environmental_disclosure_notice,3
L2::policy_selected_contact_locale::tenant_legal_rent_adjustment_notice,3
L2::policy_selected_contact_locale::financial_dispute_provisional_credit_notice,3
L2::policy_selected_contact_locale::medical_records_release_notice,3
L2::policy_selected_contact_locale::platform_content_removal_notice,3
L2::policy_selected_contact_locale::domain_verification_policy_notice,3
L3::active_outbound_surface::status_page_active_surface_update,3
L3::active_outbound_surface::in_app_banner_active_surface_notice,3
L3::active_outbound_surface::secure_admin_inbox_reply,3
L3::active_outbound_surface::incident_bridge_followup_message,3
L3::active_outbound_surface::migration_command_center_update,3
L3::active_outbound_surface::developer_portal_ticket_reply,3
L3::active_outbound_surface::trust_center_evidence_request,3
L3::active_outbound_surface::password_reset_secure_thread,3
L3::active_outbound_surface::partner_workspace_integration_update,3
L3::active_outbound_surface::billing_portal_notice_surface,3
L3::active_outbound_surface::mobile_push_security_notice,3
L3::active_outbound_surface::dns_verification_console_update,3
