workflow_family,n_rows
customer_support_reply,177
vendor_email,81
compliance_notice,78
product_support_reply,51
structured_notification,42
service_scheduling_reply,30
crm_preference,30
security_access_notice,27
rag_answer,27
crm_visible_note,27
translation_or_localization,24
procurement_workflow,9
logistics_exception_notice,6
portal_message,6
export_control_screening_notice,3
legal_hold_release_notice,3
backup_restore_portal_message,3
regulatory_filing_acknowledgement,3
partner_onboarding_payload,3
billing_adjustment_structured_object,3
account_migration_plan_object,3
status_page_notification_payload,3
admin_console_task_card,3
trust_center_evidence_response_object,3
api_deprecation_payload,3
vulnerability_disclosure_response,3
sso_cutover_packet,3
data_export_job_payload,3
security_alert_bundle,3
public_procurement_debarment_notice,3
education_records_ferpa_notice,3
telecom_outage_regulatory_notice,3
environmental_disclosure_notice,3
tenant_legal_rent_adjustment_notice,3
financial_dispute_provisional_credit_notice,3
medical_records_release_notice,3
employment_privacy_disclosure,3
consumer_credit_adverse_action_notice,3
incident_response_payload,3
product_safety_recall_notice,3
tax_document_correction_notice,3
employment_law_notice,3
policyholder_privacy_update,3
anti_money_laundering_kyc_request,3
sanctions_review_hold_notice,3
consumer_complaint_status_notice,3
whistleblower_channel_acknowledgement,3
data_subject_access_notice,3
breach_notification_policy_notice,3
uptime_report_subscriber_notice,3
billing_dispute_policy_notice,3
verified_security_contact_alert,3
sso_migration_admin_notice,3
dpa_security_notice,3
p1_incident_policy_update,3
backup_policy_storage_notice,3
partner_integration_certificate_notice,3
financial_promotion_risk_warning,3
developer_account_scope_notice,3
billing_admin_payment_method_notice,3
security_contact_key_rotation_notice,3
incident_subscriber_status_update,3
workspace_owner_api_quota_notice,3
tenant_admin_license_notice,3
account_migration_ready_notice,3
saas_billing_export_notice,3
data_residency_region_notice,3
dns_verification_console_update,3
mobile_push_security_notice,3
billing_portal_notice_surface,3
partner_workspace_integration_update,3
password_reset_secure_thread,3
trust_center_evidence_request,3
developer_portal_ticket_reply,3
migration_command_center_update,3
privacy_incident_notification,3
secure_admin_inbox_reply,3
in_app_banner_active_surface_notice,3
status_page_active_surface_update,3
domain_verification_policy_notice,3
export_control_review_notice,3
feature_deprecation_policy_notice,3
marketplace_delisting_policy_notice,3
account_recovery_policy_notice,3
certificate_rotation_policy_notice,3
incident_bridge_followup_message,3
contract_admin,3
receiving_exception,3
export_control_notice,3
vendor_scorecard,3
field_service_parts,3
product_recall_logistics,3
compliance_notification,3
finance_verification,3
security_maintenance_window_notice,3
plant_scheduling,3
partner_onboarding,3
secure_billing_portal_payload,3
crm_playbook_recommendation_card,3
partner_portal_announcement_payload,3
secure_portal_task_object,3
case_status_card_payload,3
template_pack_generation_object,3
customs_notice,3
customs_broker_packet,3
carrier_notification_array,3
procurement_card,3
structured_vendor_portal,3
shipment_visibility_portal,3
field_service_channel,3
claim_escalation_thread,3
invoice_dispute_workspace,3
dispute_resolution,3
warehouse_slotting_surface,3
booking_session,3
supplier_quality_thread,3
logistics_exception_room,3
customs_case_portal,3
procurement_chat,3
secure_freight_inbox,3
vendor_portal_thread,3
partner_onboarding_surface,3
secure_portal_billing_policy,3
crm_nps_recovery_policy,3
portal_entitlement_change_policy,3
crm_quote_approval_policy,3
public_records_request_portal_reply,3
tax_authority_secure_message,3
regulated_returns_portal_message,3
legal_billing_client_portal_message,3
crm_note_external_reply_split,3
safety_recall_portal_message,3
financial_complaints_portal_reply,3
ethics_hotline_secure_reply,3
privacy_request_portal_reply,3
