structured_output_type,n_rows
not_applicable_or_missing,1122
json_object,12
hybrid,12
localized_notification_bundle,9
nested_portal_message_payload,9
crm_note_plus_customer_visible_block,6
email,6
free_form,6
claim_or_case_status_widget,6
customer_visible_form_with_internal_audit,6
triage_panel_payload,6
case_update_array_payload,6
visible_internal_mixed_schema,6
secure_inbox_packet,6
crm_handoff_with_reply,6
portal_case_payload,6
portal_message_thread,6
public_ticket_bundle,6
vendor_email,3
release_note,3
kb_answer,3
compliance_notice,3
template,3
crm_macro,3
field_split_notification,3
partner_activation_timeline_array,3
secure_inbox_incident_packet,3
regional_stock_allocation_form,3
decision_card_array,3
secure_notice_with_notes,3
partner_action_packet,3
compliance_disclosure_matrix,3
nested_vendor_portal_payload,3
procurement_card_with_internal_notes,3
carrier_notification_array,3
customs_broker_packet,3
public_internal_split_macro,3
supplier_scorecard_widget,3
secure_inbox_exception_bundle,3
ASN_update_form,3
claim_status_card_array,3
delivery_window_portal_payload,3
recall_notice_matrix,3
partner_onboarding_packet,3
claim_decision_card_with_internal_reserve,3
public_internal_payment_verification_packet,3
customer_visible_notification_array,3
billing_adjustment_object_visible_internal_split,3
chargeback_case_status_card,3
kyc_portal_public_internal_bundle,3
loan_document_request_form,3
fraud_secure_inbox_payload,3
settlement_offer_visible_packet,3
tax_certificate_public_remediation_record,3
beneficiary_update_visible_form,3
audit_confirmation_response_object,3
patient_result_public_internal_payload,3
admissions_status_visible_card,3
vaccination_visible_message_array,3
financial_aid_visible_internal_object,3
benefit_eligibility_visible_card,3
permit_public_internal_notification,3
transit_application_visible_record,3
housing_waitlist_public_status_object,3
library_hold_visible_payload,3
immunization_compliance_visible_packet,3
accommodation_visible_case_card,3
utility_assistance_visible_payload,3
incident_response_customer_visible_payload,3
security_alert_admin_visible_bundle,3
account_migration_portal_visible_plan,3
status_page_public_update_payload,3
admin_console_visible_task_card,3
trust_center_requester_visible_response,3
data_export_requester_visible_payload,3
sso_cutover_tenant_admin_visible_packet,3
vulnerability_reporter_visible_response,3
api_deprecation_developer_visible_payload,3
billing_contact_visible_adjustment_object,3
partner_onboarding_partner_visible_payload,3
privacy_notice_data_subject_visible_payload,3
breach_notice_recipient_visible_bundle,3
sanctions_review_counterparty_visible_object,3
credit_notice_applicant_visible_card,3
regulatory_status_filer_visible_object,3
legal_hold_custodian_visible_payload,3
recall_notice_owner_visible_bundle,3
tax_correction_payee_visible_notice,3
employment_notice_employee_visible_packet,3
environmental_notice_community_visible_payload,3
dispute_status_cardholder_visible_card,3
records_response_requester_visible_object,3
crm_record_customer_visible_payload,3
secure_message_recipient_visible_payload,3
portal_notification_user_visible_bundle,3
support_macro_customer_visible_object,3
crm_external_reply_visible_split,3
template_pack_customer_visible_blocks,3
case_status_customer_visible_card,3
portal_task_user_visible_object,3
partner_announcement_partner_visible_payload,3
playbook_card_customer_visible_card,3
billing_payload_payer_visible_object,3
survey_response_respondent_visible_object,3
